Month,Year,Crime_Category,Subcategory,Cases,Source_File,Page_Number,Table_Number
January,2022,Murder,Murder for gain,7,crime_31.pdf,3,1
January,2022,Murder,Other Murders,106,crime_31.pdf,3,1
January,2022,Murder,Total Murder,113,crime_31.pdf,3,1
January,2022,Dacoity,Dacoity Cases,19,crime_31.pdf,4,1
January,2022,Robbery,Chain Snatching,41,crime_31.pdf,5,1
January,2022,Robbery,Robbery (Except Chain Snatching),70,crime_31.pdf,5,1
January,2022,Robbery,Total Robbery,111,crime_31.pdf,5,1
January,2022,Burglary,Burglary Night,318,crime_31.pdf,6,1
January,2022,Burglary,Burglary Day,101,crime_31.pdf,6,1
January,2022,Burglary,Total,419,crime_31.pdf,6,1
January,2022,Theft,Reported,1583,crime_31.pdf,7,1
January,2022,Riots,Riots,335,crime_31.pdf,8,1
January,2022,Hurt,Cases of Hurt,1262,crime_31.pdf,9,1
January,2022,Special & Local Laws,Special & Local Laws,3907,crime_31.pdf,10,1
January,2022,Crime against Women,Rape,38,crime_31.pdf,11,1
January,2022,Crime against Women,Dowry Death,13,crime_31.pdf,11,1
January,2022,POCSO,POCSO,266,crime_31.pdf,12,1
January,2022,SC/ST POA Act,SC/ST POA Act,210,crime_31.pdf,13,1
January,2022,Cyber Crimes,Cyber Crimes,800,crime_31.pdf,15,1
January,2022,Economic Offences,Economic Offences,521,crime_31.pdf,16,1
January,2022,MMDR & KMMCR,MMDR Act,21,crime_31.pdf,17,1
January,2022,MMDR & KMMCR,KMMC Rules,7,crime_31.pdf,17,1
January,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,912,crime_31.pdf,18,1
January,2022,NDPS Cases,NDPS Cases,446,crime_31.pdf,19,1
February,2022,Murder,Murder for gain,7,crime_32.pdf,3,1
February,2022,Murder,Other Murders,96,crime_32.pdf,3,1
February,2022,Murder,Total Murder,103,crime_32.pdf,3,1
February,2022,Dacoity,Dacoity Cases,17,crime_32.pdf,4,1
February,2022,Robbery,Chain Snatching,37,crime_32.pdf,5,1
February,2022,Robbery,Robbery (Except Chain Snatching),74,crime_32.pdf,5,1
February,2022,Robbery,Total Robbery,111,crime_32.pdf,5,1
February,2022,Burglary,Burglary Night,309,crime_32.pdf,6,1
February,2022,Burglary,Burglary Day,67,crime_32.pdf,6,1
February,2022,Burglary,Total,376,crime_32.pdf,6,1
February,2022,Theft,Reported,1624,crime_32.pdf,7,1
February,2022,Riots,Riots,354,crime_32.pdf,8,1
February,2022,Hurt,Cases of Hurt,1222,crime_32.pdf,9,1
February,2022,Special & Local Laws,Special & Local Laws,4070,crime_32.pdf,10,1
February,2022,Crime against Women,Rape,36,crime_32.pdf,11,1
February,2022,Crime against Women,Dowry Death,13,crime_32.pdf,11,1
February,2022,POCSO,POCSO,237,crime_32.pdf,12,1
February,2022,SC/ST POA Act,SC/ST POA Act,204,crime_32.pdf,13,1
February,2022,Cyber Crimes,Cyber Crimes,924,crime_32.pdf,15,1
February,2022,Economic Offences,Economic Offences,547,crime_32.pdf,16,1
February,2022,MMDR & KMMCR,MMDR Act,16,crime_32.pdf,17,1
February,2022,MMDR & KMMCR,KMMC Rules,4,crime_32.pdf,17,1
February,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,892,crime_32.pdf,18,1
February,2022,NDPS Cases,NDPS Cases,521,crime_32.pdf,19,1
March,2022,Murder,Murder for gain,4,crime_33.pdf,3,1
March,2022,Murder,Other Murders,121,crime_33.pdf,3,1
March,2022,Murder,Total Murder,125,crime_33.pdf,3,1
March,2022,Dacoity,Dacoity Cases,17,crime_33.pdf,4,1
March,2022,Robbery,Chain Snatching,59,crime_33.pdf,5,1
March,2022,Robbery,Robbery (Except Chain Snatching),69,crime_33.pdf,5,1
March,2022,Robbery,Total Robbery,128,crime_33.pdf,5,1
March,2022,Burglary,Burglary Night,355,crime_33.pdf,6,1
March,2022,Burglary,Burglary Day,86,crime_33.pdf,6,1
March,2022,Burglary,Total,441,crime_33.pdf,6,1
March,2022,Theft,Reported,1732,crime_33.pdf,7,1
March,2022,Riots,Riots,377,crime_33.pdf,8,1
March,2022,Hurt,Cases of Hurt,1412,crime_33.pdf,9,1
March,2022,Special & Local Laws,Special & Local Laws,4581,crime_33.pdf,10,1
March,2022,Crime against Women,Rape,58,crime_33.pdf,11,1
March,2022,Crime against Women,Dowry Death,10,crime_33.pdf,11,1
March,2022,POCSO,POCSO,277,crime_33.pdf,12,1
March,2022,SC/ST POA Act,SC/ST POA Act,220,crime_33.pdf,13,1
March,2022,Cyber Crimes,Cyber Crimes,1047,crime_33.pdf,15,1
March,2022,Economic Offences,Economic Offences,546,crime_33.pdf,16,1
March,2022,MMDR & KMMCR,MMDR Act,18,crime_33.pdf,17,1
March,2022,MMDR & KMMCR,KMMC Rules,7,crime_33.pdf,17,1
March,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,983,crime_33.pdf,18,1
March,2022,NDPS Cases,NDPS Cases,455,crime_33.pdf,19,1
April,2022,Murder,Murder for gain,4,crime_34.pdf,3,1
April,2022,Murder,Other Murders,123,crime_34.pdf,3,1
April,2022,Murder,Total Murder,127,crime_34.pdf,3,1
April,2022,Dacoity,Dacoity Cases,19,crime_34.pdf,4,1
April,2022,Robbery,Chain Snatching,65,crime_34.pdf,5,1
April,2022,Robbery,Robbery (Except Chain Snatching),77,crime_34.pdf,5,1
April,2022,Robbery,Total Robbery,142,crime_34.pdf,5,1
April,2022,Burglary,Burglary Night,352,crime_34.pdf,6,1
April,2022,Burglary,Burglary Day,76,crime_34.pdf,6,1
April,2022,Burglary,Total,428,crime_34.pdf,6,1
April,2022,Theft,Reported,1704,crime_34.pdf,7,1
April,2022,Riots,Riots,418,crime_34.pdf,8,1
April,2022,Hurt,Cases of Hurt,1462,crime_34.pdf,9,1
April,2022,Special & Local Laws,Special & Local Laws,4429,crime_34.pdf,10,1
April,2022,Crime against Women,Rape,48,crime_34.pdf,11,1
April,2022,Crime against Women,Dowry Death,9,crime_34.pdf,11,1
April,2022,POCSO,POCSO,277,crime_34.pdf,12,1
April,2022,SC/ST POA Act,SC/ST POA Act,197,crime_34.pdf,13,1
April,2022,Cyber Crimes,Cyber Crimes,998,crime_34.pdf,15,1
April,2022,Economic Offences,Economic Offences,524,crime_34.pdf,16,1
April,2022,MMDR & KMMCR,MMDR Act,9,crime_34.pdf,17,1
April,2022,MMDR & KMMCR,KMMC Rules,10,crime_34.pdf,17,1
April,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,950,crime_34.pdf,18,1
April,2022,NDPS Cases,NDPS Cases,314,crime_34.pdf,19,1
May,2022,Murder,Murder for gain,4,crime_35.pdf,3,1
May,2022,Murder,Other Murders,125,crime_35.pdf,3,1
May,2022,Murder,Total Murder,129,crime_35.pdf,3,1
May,2022,Dacoity,Dacoity Cases,22,crime_35.pdf,4,1
May,2022,Robbery,Chain Snatching,60,crime_35.pdf,5,1
May,2022,Robbery,Robbery (Except Chain Snatching),83,crime_35.pdf,5,1
May,2022,Robbery,Total Robbery,143,crime_35.pdf,5,1
May,2022,Burglary,Burglary Night,389,crime_35.pdf,6,1
May,2022,Burglary,Burglary Day,83,crime_35.pdf,6,1
May,2022,Burglary,Total,472,crime_35.pdf,6,1
May,2022,Theft,Reported,1874,crime_35.pdf,7,1
May,2022,Riots,Riots,351,crime_35.pdf,8,1
May,2022,Hurt,Cases of Hurt,1306,crime_35.pdf,9,1
May,2022,Special & Local Laws,Special & Local Laws,5699,crime_35.pdf,10,1
May,2022,Crime against Women,Rape,44,crime_35.pdf,11,1
May,2022,Crime against Women,Dowry Death,14,crime_35.pdf,11,1
May,2022,POCSO,POCSO,266,crime_35.pdf,12,1
May,2022,SC/ST POA Act,SC/ST POA Act,175,crime_35.pdf,13,1
May,2022,Cyber Crimes,Cyber Crimes,914,crime_35.pdf,15,1
May,2022,Economic Offences,Economic Offences,371,crime_35.pdf,16,1
May,2022,MMDR & KMMCR,MMDR Act,9,crime_35.pdf,17,1
May,2022,MMDR & KMMCR,KMMC Rules,9,crime_35.pdf,17,1
