"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - November - 2025,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The Service
wise details of received, disposed and overdue status of services for November 2025 as on
30.11.2025 are as under",,,,
Sl. No,Service Name,"Stipulated
Time","No. of Receipts
During the
Month","No. of Disposal
During the Month as
on 31.08.2025"
1,Arms License Issue and Renewal Verification,30,0,0
2,Certification of Finger Print,20,3,3
3,Disposal of Petitions,45,33608,31708
4,Issue of copy of FIR to the complaintant,1,18758,18758
5,License for Amplified Sound System,3,1025,1092
6,License for Amusement,15,0,0
7,"Missing Report of documents, Mobile phone etc",1,3200,3200
8,"No objection to return to India permission in
respect of Tibetans",20,0,0
9,"No obligation to return to India (NORI)
Certificate",20,0,0
10,NOC for Crackers License,7,25,0
11,NoC for Passport Verification,20,873,998
12,"NOC for petrol pump,gas agency,hotel,bar etc.",7,0,0
13,NOC for Residencial Permit Extension,7,0,0
14,"NOC required for setting up of Petroleum,
Diesel and Naphtha, Sale, Transport",21,0,0
15,"Permission for Peaceful Assembly and
procession",15,1,0
16,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/
Supervisor at Airport (Individual applicants
only)",20,10214,10390
17,"Police Verification Certificate for domestic
servants/house keeping",20,0,0
18,"Police Verification Certificate for Institutions/
Companies",20,86,83
19,"Police verification Certificate for Marriage
Alliances",20,47,46
20,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages at
Govt. Institutions",20,5421,5102
21,"PVC for Central /State Govt. employees if
request is received directly by the employee",20,378,323
22,Service Verification,20,34741,33566
23,Temporary Licence for Sale of Crackers,7,0,0
,Total,,108380,105269
