"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - May - 2026,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The Service
wise details of received, disposed and overdue status of services for May 2026 as on 31.05.2026
are as under",,,,
Sl. No,Service Name,"Stipulated
Time","No. of Receipts
During the
Month","No. of Disposal
During the Month as
on 31.05.2026"
1,Certification of Finger Print,20,1,2
2,Disposal of Petitions,45,42874,46319
3,Issue of copy of FIR to the complaintant,1,23244,23244
4,License for Amplified Sound System,3,726,802
5,"Missing Report of documents, Mobile phone
etc",1,2891,2891
6,"No objection to return to India permission in
respect of Tibetans",20,0,0
7,"No obligation to return to India (NORI)
Certificate",20,0,0
8,NOC Arms License Verification,30,0,0
9,NOC for Crackers License,7,0,0
10,NOC for License for Amusement,15,0,0
11,NoC for Passport Verification,20,865,906
12,"NOC for petrol pump,gas agency,hotel,bar etc.",7,0,1
13,"NOC required for setting up of Petroleum,
Diesel and Naphtha, Sale, Transport",21,0,0
14,"NOC, Issue of Extension of Residencial Permit
of Foreigners",7,0,0
15,"Permission for Peaceful Assembly and
procession",15,0,3
16,"Police Verification Certificate (PVC) for Central
, State Govt. employees if request is received
directly by the employee",20,388,391
17,"Police verification Certificate (PVC) for
Coolies,Loader,Class IV Security Staff,
Supervisor at Airport (Individual applicants
only)",20,9551,9558
18,"Police Verification Certificate for domestic
servants/house keeping",20,0,0
19,"Police Verification Certificate for Institutions/
Companies",20,96,81
20,"Police verification Certificate for Marriage
Alliances",20,22,17
21,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages at
Govt. Institutions",20,7153,6172
22,Service Verification,20,35692,35076
23,Temporary Licence for Sale of Crackers,7,0,0
24,Tenant Verification,21,752,699
,Total,,124255,126162
